Q-function training is starting
[Epoch 3020/1000000] Q loss: 0.005102199716819844, score: 0, distance survived: 71
[Epoch 3030/1000000] Q loss: 0.0029446651477576967, score: 0, distance survived: 119
[Epoch 3040/1000000] Q loss: 0.003017896105931783, score: 0, distance survived: 71
[Epoch 3050/1000000] Q loss: 0.002751940060278714, score: 0, distance survived: 63
[Epoch 3060/1000000] Q loss: 0.004272124144096544, score: 0, distance survived: 72
[Epoch 3070/1000000] Q loss: 0.004703771665951472, score: 0, distance survived: 65
[Epoch 3080/1000000] Q loss: 0.005258406204322759, score: 0, distance survived: 74
[Epoch 3090/1000000] Q loss: 0.0042481921577418435, score: 0, distance survived: 65
[Epoch 3100/1000000] Q loss: 0.004286045072044714, score: 0, distance survived: 74
[Epoch 3110/1000000] Q loss: 0.002985366555158172, score: 0, distance survived: 75
[Epoch 3120/1000000] Q loss: 0.004440126846576851, score: 0, distance survived: 84
[Epoch 3130/1000000] Q loss: 0.0028468314148847157, score: 0, distance survived: 74
[Epoch 3140/1000000] Q loss: 0.004838357164664259, score: 0, distance survived: 71
[Epoch 3150/1000000] Q loss: 0.0043547373847187335, score: 0, distance survived: 37
[Epoch 3160/1000000] Q loss: 0.003557627039127207, score: 0, distance survived: 71
[Epoch 3170/1000000] Q loss: 0.0032121128289175852, score: 0, distance survived: 85
[Epoch 3180/1000000] Q loss: 0.00471522697714218, score: 0, distance survived: 75
[Epoch 3190/1000000] Q loss: 0.005814323168991686, score: 0, distance survived: 65
[Epoch 3200/1000000] Q loss: 0.006621602218023721, score: 0, distance survived: 69
[Epoch 3210/1000000] Q loss: 0.003286901353870219, score: 0, distance survived: 64
[Epoch 3220/1000000] Q loss: 0.0049128320575019865, score: 0, distance survived: 71
[Epoch 3230/1000000] Q loss: 0.004124397939364453, score: 0, distance survived: 84
[Epoch 3240/1000000] Q loss: 0.002639638291729565, score: 0, distance survived: 63
[Epoch 3250/1000000] Q loss: 0.0035664839564834698, score: 0, distance survived: 63
[Epoch 3260/1000000] Q loss: 0.0037479774043223243, score: 0, distance survived: 64
[Epoch 3270/1000000] Q loss: 0.004507459456639632, score: 0, distance survived: 68
[Epoch 3280/1000000] Q loss: 0.005637063067635553, score: 0, distance survived: 72
[Epoch 3290/1000000] Q loss: 0.0035459077598379886, score: 0, distance survived: 65
[Epoch 3300/1000000] Q loss: 0.0042636538699375205, score: 0, distance survived: 64
[Epoch 3310/1000000] Q loss: 0.006429091319224693, score: 0, distance survived: 83
[Epoch 3320/1000000] Q loss: 0.004539356770618332, score: 0, distance survived: 63
[Epoch 3330/1000000] Q loss: 0.005998687587282884, score: 0, distance survived: 70
[Epoch 3340/1000000] Q loss: 0.003991607194541112, score: 0, distance survived: 83
[Epoch 3350/1000000] Q loss: 0.004361141327496929, score: 0, distance survived: 65
[Epoch 3360/1000000] Q loss: 0.0029542061363510056, score: 0, distance survived: 65
[Epoch 3370/1000000] Q loss: 0.0034420737037285064, score: 0, distance survived: 65
